44,64,57,1
42,60,70,0
40,55,44,0
55,47,77,1
40,30,50,0
17,30,65,0
21,30,80,0
37,50,80,1
11,70,77,1
24,42,70,0
15,50,30,0
44,45,60,0
37,40,55,0
29,80,75,1
69,55,89,1
26,50,70,0
53,55,70,0
46,30,74,1
40,35,54,0
16,50,52,0
41,20,76,0
32,50,90,1
35,40,60,1
59,80,80,1
40,40,69,0
38,40,80,1
22,50,65,0
73,70,57,1
44,55,70,1
57,60,68,1
28,50,33,0
38,50,75,0
45,60,60,0
34,50,79,1
46,60,59,1
17,25,70,0
48,60,52,1
74,58,68,1
55,55,90,1
64,40,78,1
30,55,89,1
31,50,55,0
33,18,68,0
67,77,84,1
34,78,79,1
75,45,100,1
55,50,68,0
30,48,100,1
45,38,65,0
49,16,74,0
58,56,100,1
55,21,89,0
40,68,88,1
45,25,76,1
83,27,55,0
95,100,93,1
40,33,86,1
74,77,88,1
79,22,82,1
52,15,73,0
65,47,51,0
22,50,100,1
83,45,74,1
39,65,90,1
55,27,83,0
55,75,90,1
12,16,91,0
47,70,88,1
67,18,85,1
60,48,100,1
62,35,82,1
57,57,35,1
62,80,98,1
20,16,92,0
75,52,98,1
47,100,50,1
15,16,87,0
75,20,73,0
40,25,76,1
48,55,95,1
36,50,66,1
62,55,68,1
45,27,67,0
48,25,66,0
92,90,70,1
30,92,39,0
60,50,66,1
75,80,93,1
75,23,54,0
70,35,90,1
75,55,70,1
72,45,47,0
40,38,68,0
90,50,97,1
60,65,34,1
30,38,38,0
80,48,100,1
40,54,51,1
75,60,73,1
50,34,82,0
80,59,84,1
75,38,67,1
50,36,48,1
43,55,100,1
80,38,32,0
100,55,69,1
55,32,25,0
75,55,26,0
50,48,87,1
45,60,70,1
80,38,88,1
60,21,74,1
40,38,8,0
80,55,91,0
50,55,92,0
100,35,92,1
50,55,68,1
100,90,45,1
45,58,72,1
75,65,85,1
90,43,43,0
43,27,100,1
54,70,90,1
43,45,90,1
69,75,90,1
69,100,95,1
65,65,60,1
84,70,80,1
56,90,95,1
58,75,100,1
36,42,55,0
70,50,90,0
35,60,85,0
79,70,90,1
62,80,95,1
60,51,55,0
47,57,95,1
78,45,90,1
32,70,40,0
94,39,70,1
62,59,80,1
66,25,90,1
77,63,70,0
32,44,90,1
74,70,90,1
90,60,80,1
36,73,54,0
25,79,57,0
40,82,85,0
43,50,24,0
54,71,75,0
14,68,50,0
36,65,59,0
28,77,87,0
43,57,42,0
54,25,23,0
49,90,26,0
69,65,47,0
45,97,80,1
38,100,72,1
21,59,65,0
55,65,70,0
31,72,63,0
40,76,91,1
35,69,71,0
11,54,52,0
70,80,65,0
25,100,89,0
26,54,37,0
25,38,95,0
61,75,66,0
49,69,42,0
28,46,72,0
51,37,71,0
97,99,78,1
40,82,62,0
62,40,69,0
48,83,66,0
73,70,59,1
47,70,60,0
68,64,78,1
42,85,74,0
64,96,57,1
19,64,90,0
40,63,55,0
71,90,52,1
48,22,70,0
47,67,85,1
16,58,70,0
50,80,74,1
60,95,81,1
57,58,50,0
40,37,65,0
38,74,74,1
59,67,58,0
59,95,72,1
57,69,64,1
49,59,55,0
38,30,75,0
43,42,26,0
27,87,70,0
29,100,86,1
77,67,97,1
52,92,32,0
30,95,65,0
50,82,81,1
35,94,33,0
18,96,82,0
74,70,92,1
33,95,87,1
64,74,90,1
55,67,64,0
59,55,77,1
60,100,69,1
59,70,88,1
53,45,44,0
30,95,64,0
56,96,46,0
61,33,59,0
52,64,78,0
46,65,45,0
53,72,47,0
57,91,71,0
50,81,66,0
31,91,81,0
51,98,91,1
69,90,75,1
49,91,69,1
43,92,87,1
33,54,53,0
58,77,67,1
47,61,85,1
23,94,93,1
57,70,50,0
25,54,72,0
36,81,97,1
63,60,100,1
41,72,49,0
39,79,82,1
44,60,51,0
52,68,79,1
36,80,71,0
61,69,48,0
62,25,30,0
53,65,68,1
47,97,97,1
36,74,57,0
53,55,51,0
18,90,57,0
55,80,78,1
58,54,78,0
70,30,60,0
66,65,73,1
57,64,82,1
27,95,79,0
38,70,55,0
27,70,51,0
43,35,25,0
95,80,76,1
71,35,86,1
44,45,52,0
54,40,45,0
18,70,34,0
65,72,20,0
49,70,43,1
8,70,23,0
35,43,47,0
72,75,82,1
70,45,49,0
72,72,74,1
23,79,81,1
57,69,100,1
36,29,42,0
65,63,73,0
60,56,72,0
90,85,85,1
52,85,68,1
85,24,65,1
55,85,70,1
90,50,78,1
65,40,74,0
34,70,43,0
74,70,65,1
60,37,52,0
80,67,71,1
60,87,80,1
68,35,85,1
25,40,47,0
15,35,42,0
60,60,37,0
68,60,37,0
43,60,64,0
70,70,79,1
43,80,66,1
70,60,53,0
82,100,78,1
90,50,44,1
44,80,77,1
69,70,94,1
100,100,100,1
58,80,31,0
60,69,100,1
42,70,70,1
75,55,87,1
33,65,65,1
88,82,69,1
85,90,80,1
58,70,97,1
40,67,45,0
100,100,79,1
84,50,72,1
100,90,88,1
38,45,77,0
65,85,56,1
70,35,61,0
70,70,100,1
33,85,70,0
100,80,80,1
75,60,39,1
55,70,66,1
66,60,84,1
60,77,93,1
55,67,73,1
65,80,80,1
34,85,78,1
90,69,65,1
62,60,68,1
85,65,68,1
60,88,80,1
55,70,78,1
60,49,68,1
45,50,50,0
45,30,49,1
70,56,70,1
70,85,56,1
67,85,75,1
32,70,61,0
43,50,75,0
90,85,38,1
52,71,67,1
89,100,39,1
47,72,48,0
64,77,85,1
100,85,84,1
84,64,87,1
60,80,78,1
70,67,100,1
63,85,50,0
100,75,93,1
45,50,70,1
55,70,78,1
42,50,25,0
52,64,48,1
60,42,50,0
43,64,27,0
71,80,60,1
67,45,80,1
52,55,80,1
90,55,44,1
63,55,70,0
39,48,70,0
74,77,75,1
50,61,65,0
31,35,34,0
40,66,60,0
61,72,85,1
52,45,70,0
66,58,55,0
70,55,85,1
50,90,65,1
61,97,85,1
61,65,65,1
70,56,65,1
63,50,95,1
55,60,77,0
60,55,45,1
